brand,model,accel,topspeed,range,efficiency,fastcharge,rapidcharge,powertrain,plugtype,bodystyle,segment,seats,priceeuro,score,priceusd
Tesla ,Model S Performance,2.5,261.0,505.0,188.0,550 km/h,Rapid charging possible,All Wheel Drive,Type 2,Liftback,F,5,96990,4,99907.29295426453
Renault ,Zoe ZE40 R110,11.4,135.0,255.0,161.0,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29234,2,30113.30861145447
Tesla ,Model Y Long Range Performance,3.7,241.0,410.0,177.0,900 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,7,65620,4,67593.73712402143
Nissan ,Ariya 87kWh,7.6,160.0,440.0,198.0,520 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,50000,2,51503.91429748661
Jaguar ,I-Pace ,4.8,200.0,365.0,232.0,340 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,75351,2,77617.42892459827
Ford ,Mustang Mach-E ER RWD,7.0,180.0,450.0,200.0,430 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,54475,2,56113.51462711166
Porsche ,Taycan 4S Plus,4.0,250.0,425.0,197.0,890 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,109302,4,112589.61681087762
Nissan ,e-NV200 Evalia ,14.0,123.0,190.0,200.0,190 km/h,Rapid charging possible,Front Wheel Drive,Type 1 CHAdeMO,SPV,N,7,33246,2,34245.9826946848
Tesla ,Cybertruck Dual Motor,5.0,190.0,460.0,261.0,710 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Pickup,N,6,55000,1,56654.30572723527
Renault ,Kangoo Maxi ZE 33,22.4,130.0,160.0,194.0,-,Rapid charging not possible,Front Wheel Drive,Type 2,SPV,N,5,38000,2,39142.974866089826
Ford ,Mustang Mach-E ER AWD,6.0,180.0,430.0,209.0,410 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,62900,1,64791.92418623815
BMW ,i3s 120 Ah,6.9,160.0,230.0,165.0,260 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,41526,1,42775.030902348575
Skoda ,Enyaq iV 80X,7.0,160.0,400.0,193.0,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,45000,2,46353.52286773795
Porsche ,Taycan Cross Turismo ,3.5,250.0,385.0,217.0,770 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Station,F,4,150000,2,154511.74289245982
Byton ,M-Byte 95 kWh 4WD,5.5,190.0,390.0,244.0,460 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,64000,0,65925.01030078286
Sono ,Sion ,9.0,140.0,225.0,156.0,270 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,25500,2,26266.99629171817
Kia ,e-Niro 39 kWh,9.8,155.0,235.0,167.0,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,34400,2,35434.69303667079
Audi ,Q4 Sportback e-tron ,6.3,180.0,410.0,188.0,550 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,57500,2,59229.5014421096
Smart ,EQ forfour ,12.7,130.0,95.0,176.0,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,4,22030,2,22692.6246394726
Ford ,Mustang Mach-E SR AWD,6.0,180.0,340.0,206.0,360 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,54000,0,55624.22744128554
Porsche ,Taycan Turbo,3.2,260.0,390.0,215.0,810 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,148301,2,152761.63988463124
Volkswagen ,ID.3 1st,7.3,160.0,340.0,171.0,470 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,38987,1,40159.66213432221
Tesla ,Model X Performance,2.8,250.0,440.0,216.0,480 km/h,Rapid charging possible,All Wheel Drive,Type 2,SUV,F,7,102990,3,106087.76266996292
Smart ,EQ fortwo coupe,11.6,130.0,100.0,167.0,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,2,21387,2,22030.28430160692
Ford ,Mustang Mach-E SR RWD,6.6,180.0,360.0,194.0,380 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,46900,1,48310.67161104244
Mercedes ,EQV 300 Long,10.0,140.0,330.0,273.0,290 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SPV,N,7,70631,2,72755.45941491553
Fiat ,500e Hatchback,9.0,150.0,250.0,168.0,330 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,34900,2,35949.73217964565
Tesla ,Cybertruck Single Motor,7.0,180.0,390.0,256.0,740 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Pickup,N,6,45000,0,46353.52286773795
Audi ,e-tron Sportback 50 quattro,6.8,190.0,295.0,219.0,470 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,69551,1,71642.97486608982
Skoda ,Enyaq iV vRS,6.2,180.0,400.0,193.0,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,47500,2,48928.71858261228
Skoda ,Enyaq iV 60,9.0,160.0,320.0,181.0,440 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,37500,2,38627.935723114955
Audi ,e-tron S 55 quattro,4.5,210.0,320.0,270.0,510 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,93800,2,96621.34322208488
Smart ,EQ fortwo cabrio,11.9,130.0,95.0,176.0,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Cabrio,A,2,24565,2,25303.87309435517
Kia ,e-Soul 64 kWh,7.9,167.0,365.0,175.0,320 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36837,1,37944.99381953028
Nissan ,Ariya e-4ORCE 87kWh,5.7,200.0,420.0,207.0,500 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,57500,2,59229.5014421096
Fiat ,500e Convertible,9.0,150.0,250.0,168.0,330 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,37900,2,39039.96703749485
Volkswagen ,ID.3 Pro Performance,7.3,160.0,340.0,171.0,470 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,35575,1,36645.03502266172
Kia ,e-Soul 39 kWh,9.9,157.0,230.0,170.0,220 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,33133,2,34129.58384837247
Byton ,M-Byte 72 kWh 2WD,7.5,190.0,325.0,222.0,420 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,E,5,53500,0,55109.18829831067
Nissan ,Ariya 63kWh,7.5,160.0,330.0,191.0,440 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,45000,1,46353.52286773795
Audi ,e-tron S Sportback 55 quattro,4.5,210.0,335.0,258.0,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,96050,2,98939.01936547177
Nissan ,Ariya e-4ORCE 63kWh,5.9,200.0,325.0,194.0,440 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,50000,2,51503.91429748661
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200.0,375.0,232.0,450 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,65000,2,66955.08858673259
Byton ,M-Byte 95 kWh 2WD,7.5,190.0,400.0,238.0,480 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,62000,1,63864.8537288834
